RunID,Timestamp,Lambda_CDM,Lambda3_Resilience,SimStepsPlanned,TotalStepsExecuted,StableStepsCount,PathToDataFile
run_20250528_030520_637628,20250528_030520_637628,0.3,0.55,100,1,0,run_20250528_030520_637628_simulation_data.json
run_20250528_030633_214003,20250528_030633_214003,0.3,0.55,100,1,0,run_20250528_030633_214003_simulation_data.json
